app,policy_area,tau,TP,FP,FN,TN,TP_meta3,FP_meta3,FN_meta3,TN_meta3,volume_scenario,posts_per_day,scenario_s_fp,scenario_s_fn,cost_fp_1,cost_fp_2,cost_fn_1,eur_per_FP,eur_per_FN,direct_fp_cost,direct_fn_cost,indirect_fp_cost,indirect_fn_cost,fp_cost_total,fn_cost_total,ecm_total_cost
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.06,0.5,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0167278802680239,0.0,11124.945949400046,21.540499999999998,664.966696414486,0.0,11789.912645814531,21.540499999999998,11811.45314581453
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.12,0.01,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0334557605360478,0.0,11124.945949400046,21.540499999999998,1329.933392828972,0.0,12454.879342229018,21.540499999999998,12476.419842229017
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.12,0.03,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0334557605360478,0.0,11124.945949400046,21.540499999999998,1329.933392828972,0.0,12454.879342229018,21.540499999999998,12476.419842229017
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.12,0.075,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0334557605360478,0.0,11124.945949400046,21.540499999999998,1329.933392828972,0.0,12454.879342229018,21.540499999999998,12476.419842229017
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.12,0.5,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0334557605360478,0.0,11124.945949400046,21.540499999999998,1329.933392828972,0.0,12454.879342229018,21.540499999999998,12476.419842229017
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.27,0.01,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0752754612061077,0.0,11124.945949400046,21.540499999999998,2992.3501338651936,0.0,14117.296083265239,21.540499999999998,14138.836583265238
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.27,0.03,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0752754612061077,0.0,11124.945949400046,21.540499999999998,2992.3501338651936,0.0,14117.296083265239,21.540499999999998,14138.836583265238
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.27,0.075,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0752754612061077,0.0,11124.945949400046,21.540499999999998,2992.3501338651936,0.0,14117.296083265239,21.540499999999998,14138.836583265238
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,high,3695700000.0,0.27,0.5,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0752754612061077,0.0,11124.945949400046,21.540499999999998,2992.3501338651936,0.0,14117.296083265239,21.540499999999998,14138.836583265238
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.06,0.01,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0490294449254786,0.0,11124.945949400046,21.540499999999998,1949.0184946776253,0.0,13073.964444077672,21.540499999999998,13095.504944077671
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.06,0.03,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0490294449254786,0.0,11124.945949400046,21.540499999999998,1949.0184946776253,0.0,13073.964444077672,21.540499999999998,13095.504944077671
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.06,0.075,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0490294449254786,0.0,11124.945949400046,21.540499999999998,1949.0184946776253,0.0,13073.964444077672,21.540499999999998,13095.504944077671
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.06,0.5,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0490294449254786,0.0,11124.945949400046,21.540499999999998,1949.0184946776253,0.0,13073.964444077672,21.540499999999998,13095.504944077671
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.12,0.01,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0980588898509573,0.0,11124.945949400046,21.540499999999998,3898.0369893552547,0.0,15022.9829387553,21.540499999999998,15044.5234387553
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.12,0.03,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0980588898509573,0.0,11124.945949400046,21.540499999999998,3898.0369893552547,0.0,15022.9829387553,21.540499999999998,15044.5234387553
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.12,0.075,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0980588898509573,0.0,11124.945949400046,21.540499999999998,3898.0369893552547,0.0,15022.9829387553,21.540499999999998,15044.5234387553
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.12,0.5,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.0980588898509573,0.0,11124.945949400046,21.540499999999998,3898.0369893552547,0.0,15022.9829387553,21.540499999999998,15044.5234387553
Facebook,All Policies,0.02,8495,66975,571,223959,7771,39752,350,52127,low,1260900000.0,0.27,0.01,0.13021437992484836,0.03589156930098284,0.03772416812609457,0.220632502164654,0.0,11124.945949400046,21.540499999999998,8770.583226049326,0.0,19895.529175449374,21.540499999999998,19917.069675449373
